aa	個, 各位
喜悅	十月, 十月
單日	日點
單行	大概
單點	日點
嚇一跳	下降
嚇到	達
嚴嚴	累積
嚴控	延後
四三	一千一點四三
四五六三	四十六
四五月	四月, 四月, 四月
四十七點五億	是七點五億
四十三點三億	四十三點元
四十四四十五	
四十四點三	是四十點三
四十點九二億	四十四點九億
四千七百二十七億	四千二十七億
四四	一點四四, 一點四四
四小	
四百七十二億	了四百七十二億
四百三十六萬	四百六萬
四百五十三點三萬	卡到五十三點八萬
四百四十	四百四
四百四十八萬	四百萬
四百零二萬	四百零萬
四萬五千多	五千多
四萬多	四萬
四點一二	十四點一二
四點一五	四點五
四點四二	四點二年, 四點二
回售	回收
回彈	回來
回復到	五成
回復性	回復是
回歸	微薄
回衝	類, 會從
回過	會不會
回頭	回到
回顧	回覆, 元
固資	補來
國人	不管, 國外, 國內, 國內
國内外	國內
國吼	當然
國境	國際
國發會	國會
圖書館	儲聯, 主計
圖資	投資
在下	上在
在來	第一, 在, 再來
在地	在
在檔數	
地域	第一
地步	一步
地球	
地緣	遞人, 認
地雷	地位
均勻	不經營
坊間	
坪數	評數
執行力	執率
執行期	這邊, 年輕
培訓	年可以
基層	整, 基礎, 經營
基建	機艦
基本盤	資本
基母	其實
基準	清楚
基礎值	基礎
基金會	經會, 基金
報告書	報告說, 報告
報酬率	報利
塞車	三成
墊高	變高
增加額	增加
增增	分量
增審	徵審, 升, 都, 增成
增幅	這樣, 政府, 增, 整足, 跟
增強	增長, 分享
增數	分數, 政策
增速	跟
增長率	成長率, 成長率
增長額	增長的
增高	升高
壓縮到	加
壞帳率	率
壯大	到
外交	
外債	海外
外包	啦
外匯款	外匯
外幣票	外幣, 外幣
外訪	外匯
外賣	的
多一點點	多一點
多出來	多百
多於	多, 對於
大事	大是
大個	放之下, 上
大半	慢慢
大同	大通
大名	大
大大	
大大小小	大
大戶	大步, 大部分
大腦	大
大規模	的包括
太陽能	他原來
央債	量
央票	兩條
失業	csr
奧運	高興
好友	靠
如期	期
妥適	股色
委員會	也會
委會	
子利率	利率
存入	程度
存戶	
存控比	存放比
存有	淨提存有
存款戶	存款或者
存續	十間, 七
存量	個, 成量
季結	
孩童	
學人	
學童	學齁
學院	月
守護	手, 同
安心	系一點
安排	方
安養性	還有
完善	往上
官司	關係
官網	觀察
定下	最大
定位成	定位
定案	購案
定率	利率
定量	並
客戶群	客戶權
宣告	現在
宣導	把先
宣布	個全度
宣示	每, 是
宣誓	深色
家人	的
家園	加員, 有
寄以	我們
寄望	盡量, 計one
寄過來	過來
富庶	復甦, 復甦, 復甦
富比世	或許
富比士	不比, 這
富管	財富
實品	持平
實收	子收, 吸收, 個實收
實習	呃實體
實行	是
實踐	時間
寧願	明年
審查	
寬限期	觀高, 關鍵
封控	
將要	
專注	
尊敬	經營, 建進
對標	
對比	對
對準	對整
對話	背話, 對, 對, 的話
導正	房貸
小於	以, 以, 比
小時	市場
少於	少, 上
居多	floating
居家	基金, 一家
展延	感覺
展望期	展望
展期	期的
展開	掌開
層數	卡數
履歷	這樣子
峰會	次, 分會
峰款	的
巨擘獎	去
差異化	綜合
市佔	製造
市價	家四
市占	
市政府	政府
布里斯	布里斯本
帳款	放款, 放款
帳號	
帳面	上面
帶大	帶來
帶領	
常態	談場, 轉換
常見	強勁
常規	
干擾	呆帳, 擔保品, 擔保
平價	存照
平坦	平臺
平安	天南
平息	情形
平損	提存, 那
平盤	平台
平等	
年增	連
年增為	為, 原為
年齡	年底
幸好	
幸運	現金, 確定, 心意, 盡力
幹事	玉山
幾加	幾家
幾千	外匯
幾率	gdp
底定	低定, 低, 低的
底部	第步, 併多, 到底
店面	一點點
度過	住購
康復	
廣受	受
延攬	聯案
延期	元期
延續到	有提到
延長	銀行
建案	啦
建造	變到
引擎	以前
引用	都
引發	匯發
引道	
張數	當初
張智星	當性
強健	強勁
强健	
强烈	強烈
彈升	單身
彌補	鼓
彙整	知道
形態	情況
形成	年度
影想	影響
影響面	影響
影響項	是影響
彷彿	大幅
往來數	往來, 往來
往後	往
往返	廣房貸
後年	
得以	
得意	
復刻	顧客
復工	
復發	地方
循環面	時方面
微笑	像
徹施	每客
快要	要
急凍	結構
急用	只用
急遽	繼續
恆大	大很, 很大
恐怕	統套
患者	飯則
想問	問
愛護	
感到	等到
應對	定備
應變	力, 意見
成交	成交的話
成分	可能
成就	很
成成爲	成長
成長力	成長率
成長展	成長
成長所	成長手續費
成長期	成長
成長為	成長了
或者是	是存款或者
截止	
戰勝	戰升
戰爭	
房市產	房地產
手下	走上
手段	走斷
手財管	還
扎根	展來
打破	打
扣到	到
扣法	扣款
扣繳	拓展
扶持	同時
找出	早出
承做量	很重要
承如	
承擔	成單
把握	把式
投下	
投到	扣到
投影	那
投融資	台灣, 投資, 投資, 投資
投資潮	資產
投資級	呃投資
投資面	這邊
抵抗	比
抵押品	加緊, 一筆
抵給	的比
抵銷	比
拉低	大家, 拉
拉動	把
拉吼	啦齁, 齁啦
拉貨	大作
拉近	拉進來
拉過去	interest
拉長	長期, 發齁, 辦法
拍賣	開賣, 的
拓大	擴大
招呼	
招標	操調
招牌	導開
拜登	大概, 帶動, 帶動
拿捏	
持卡人	思考
持呃	呃
指數型	指型
指日可待	服務
挑戰性	挑戰去
挑挑	剛
挪到	我們到
振興券	
挹注	
挽救	已經
掉下	掉下來
掉下去	下去
排行	還行
掛上	
採納	才
接住	接
接受到	接受
接受度	接受, 接受率
接單	階張
接班	接, 在
接種	塊, 計畫
接種假	
接種率	階動率
接續	接的
接觸點	接觸
控管住	扣除
推升	推申
推推出	可以做
推給	是
推選	房貸
描述	老數
提名	已經
提呃	呃
提振	期待, 提升
提撥	提過, 提過
提防	期綁
換款	放款, 放款
換算回	換項
換言之	包含之後
握有	有, 歸有
揭示	是
搞不好	不讓
搬過去	當過去
搶走	將
撇開	我呃
撥出去	出去
撥放出去	撥放出
撫慰	國内
擔保木	擔保
擔憂	單位
擠壓	只要
擴充	擴通, 從
擴大到	擴大
擴廠	
擺設	擺稅
攀升	一, 分
攜手	方, 第一, 的, 需求, 需求, 吸走, 需求, 其實
攤銷	看銷, 看到
支應	
支持性	支持, 支持
支柱	支出
收ㄖ	收入
收利	收益
收割	個走
收回來	回來, 未來
收支	然後
收款	款
收益性	受益性
收益期	受益的
收緊	收局
收達	收到
收錢	壽險
改寫	
放大	
放心	先
放慢	少
政風	
效力	
救世	就
敬業	第一
整修	
整修完	寫完
數位系	數位
數位話	外匯
數子	數字
數金	順處
斬獲	講過
新人	新的
新保	信保
新冠	新觀, 新光, 銀行, 新管理
新制	行動
新型	
新聞稿	新
新進	
新面孔	新吼
斷言	觀念
斷鍊	專業
方方面	方面
方方面面	放便
方款	放款
於是	可是
於此	
施打	到, 執照, 自然
施打率	
旅游	餘額, 旅遊, 有, 有, 的
旅行社	領色
旅遊業	
旗旗下	旗下
日期	是
日盛	
早日	找日
旺季	
旺年	
昇華	
明年度	的年度, 明年
明明	利率
明朗	敏感
明朗化	快蠻
春節	申請, 簡源, 成帶
春銷	出銷
時代	時態
時期	十期
時機點	實體據點
時限	實現
晚上	往上
普通	股東, 股東, 股東
智金	自己
暑假	暑價
暗示	但是, 辦市
曝顯	曝險
更正	
書本	出口
曼谷	的, 浪戶, 邁股, 内
替代	在
最下方	項
最高峰	最高
會友	會有, 還有
會員數	匯人
會會	各位
有事	有
有加	
有史以來	優
有名	都
有太	
有形	有些
有時	的
有空	有動
有賴	有來
有賴於	有來, 於
有鑑於	有
朝向	廠商, 調向的, 保障, 跑, 好像, 跑, 調向, 調向, 朝
朝著	的朝
期初	清楚
期日	幾
期望	
期滿	平滿
期繳	
期貨	許獲的
期貨債	個也
未未	未來
本質	等項, 本值
本體	整體
杠桿	槓桿, 槓桿
東北亞	東南亞
松江	
查核	
柯志鴻	
柯治宏	
核出來	啦
核定	合併
核貸	大幅, 但, 在
格外	額外
格局	個體
框架	擴大
條例	
梭表	收表
椰子	業者
業管	業本
業績	業界, 業界
極力	提
極致	
概估	代估
概算	帶動
榮光	永光
構思	過
構想	
構面	動面
標地	
標杆	比較
標準值	標的
標的	標地, 標地, 標可以, 標地
標竿	比較, 標剛
模型	公型
樹種	
機場	資產
機票	計畫
檔期	
欄位	出
權益	全益, 權力, 全力
權限	權線, 承現
歐盟	歐本
歡樂	花險的
止穩	
正像	
正向力	證力
正負向	這附向
步伐	步法
歷年以來	第一年來, 歷年來, 歷年來
殊榮	信用
殺戮	效果那
比喻	
比方說	各項, 包括, 比較
比過來	你的
毛手收	毛收, 毛
民生	民間
民衆	營沒有
民行	銀行
氛圍	分為
永續獎	永續, 總需
永豐	公
決策	
沒沒	
油資	有
治療	這
法人戶	法人
法個	法二
法個金	金
法定	法令
法治	保持
法金處	法金, 把金處
法院	法令
波及	了國際
注射	進賣
注意力	注意
泰國	太多
活度	單度
活絡	市場
流出去	留去
流動卡	百分卡
流進來	進來
浪潮	浪好
浮現	股權
海事	還知
海海	的
消費性	消費
消費會	消費
消費金	消費, 消費
消費面	消費方面
涉入	收入, 升
淨利差	淨利, 利差, 淨利
淨增加	競爭家
淨增加額	淨增加
淨手	淨手收
淨收	淨收益
淨淨利收	淨利收
淨零	
淨首手	淨手收
淨首收	定收
深厚	雙厚
清算	簽帳
清華	
清零	
減低	等利, 潛一
減減	
減碳	看, 人, 給他, 給看
減稅	建稅
減項	檢向
測算	項
測試	客戶, 次
渴望	
溫協理	微全
演變	變, 符合, 眼店
漸入佳境	建入加進來
澳幣	報地, 為說, 報定
激勵	機率
激進	基金
炭排	是
為何	會, 為呃
為輔	維持
烏克蘭	可能
無虞	鼓勵, 一
無限	上去, 一些, 微現
照顧	到理這樣, 包括
熔斷	融斷
熟悉度	受性
熱賣	
熱銷	
熱錢	選
燃煤	都
營建業	領建業
營業部	業務, 業務
營用	銀行
營養	一樣
爆發	報告
爆發性	報方性
爭搶	分行
片片	看
物流業	
物資	也
特別股	特別
特惠日	各項
獲保	貨去
獲准	
獲客	顧客, 客客來, 顧客
獲獎數	過獎
獲率	獲利
獲選	
獲頒	全面
玉呃	第呃
玉於	預
玉玉山	利玉山
玉輝	預會
珍惜	升息
現現	現在
理財戶	理財
瑕疵	
瑞士	類, 現在, 是
環保獎	高獎有很
環境面	
環款	放款
生力	生利, 生利
生命	深圳
生態圈	分格, 說
生技股	股
生產率	成長率
產品別	產品點
產能	談
用心	優性
用戶	loan
用餐	資產
申報書	高度
申設	深
申購	分購
申辦	針對
界定為	借爲
界定點	啦
留意	容易
留有	因為有
畢業	第二
略略微	
畫下	花
畫面	我
異地	預計
異常	厲常, 長場
異業	醫院
當出	當初
當期	當成, 當
病毒	並度, 定途, 併度
療法	流法
登入	分募
發債	放在, 十一月做
發出去	辦法出去
發卡行	
發掘到	到
發現到	發到
發發現	發現
發票	嗎
發行量	發量
發覺	發現, 發現
發送	包括
白工	百風
百億	臺幣, 八億
百分	零點九百, 百分之淨收益, 呃
百分之一百一十三點六	百分之一百一三點六
百分之一百二	能
百分之一百二十二點八九	百分之一百三十二點八九
百分之一百二十五	百分之一百二十, 百分之一百二十都
百分之七十點九	是百分之七十點九
百分之七點九	是百分之七點九
百分之七點八	了百分之七點八, 了百分之七點八
百分之三十九	百分之三十九點六
百分之三十二點四	三十二點四
百分之三十六點五	五十六點五
百分之九九	百分之九十九
百分之九十	百分之十
百分之九十五	那個
百分之九十點七	百分之九
百分之二	百分之十二
百分之二十五	百分之二十五呃
百分之二十八	百分之二十趴
